PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv4/state/source-address-prefix-set,leafref,read,string,,,,The leafref type is not supported. Workaround is to set to same type as leafref.
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv4/icmpv4/config/code,leaf,read+write,identityref,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv4/icmpv4/config/type,leaf,read+write,identityref,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv4/icmpv4/state/code,leaf,read,identityref,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv4/icmpv4/state/type,leaf,read,identityref,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/cpu-traffic,leaf,read+write,enumeration,arista-acl-acl-open-config-augment:acl-open-config-oc-acl-cpu-ip-traffic,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/destination-address,leaf,read+write,string,oc-inet:ipv6-prefix,,,"Destination IPv6 address represented as a prefix and mask length, or an address and 128-bit mask."
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/destination-address-prefix-set,leafref,read+write,string,,,,The leafref type is not supported. Workaround is to set to same type as leafref.
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/destination-flow-label,,not-supported,,,,,IPv6 Destination Flow Label is not supported in EOS
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/dscp,leaf,read+write,uint8,oc-inet:dscp,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/dscp-set,leaf-list,read+write,uint8,openconfig-inet-types:dscp,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/hop-limit,leaf,read+write,uint8,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/length,leaf,read+write,uint16,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/protocol,leaf,read+write,union,oc-pkt-match-types:ip-protocol-type,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/source-address,leaf,read+write,string,oc-inet:ipv6-prefix,,,"Source IPv6 address represented as a prefix and mask length, or an address and 128-bit mask."
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/source-address-prefix-set,leafref,read+write,string,,,,The leafref type is not supported. Workaround is to set to same type as leafref.
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/config/source-flow-label,,not-supported,,,,,IPv6 Source Flow Label is not supported in EOS
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/cpu-traffic,leaf,read,enumeration,arista-acl-acl-open-config-augment:acl-open-config-oc-acl-cpu-ip-traffic,,,gNMI-only access
