PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
components/component/state/pcie/correctable-errors/bad-tlp-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/correctable-errors/hdr-log-overflow-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/correctable-errors/internal-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/correctable-errors/receiver-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/correctable-errors/relay-rollover-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/correctable-errors/replay-timeout-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/correctable-errors/total-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/acs-violation-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/atomic-op-blocked-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/blocked-tlp-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/completion-abort-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/completion-timeout-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/data-link-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/ecrc-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/flow-control-protocol-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/internal-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/malformed-tlp-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/poisoned-tlp-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/receiver-overflow-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/surprise-down-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/tlp-prefix-blocked-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/total-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/undefined-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/unexpected-completion-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/fatal-errors/unsupported-request-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/acs-violation-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/atomic-op-blocked-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/blocked-tlp-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/completion-abort-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/completion-timeout-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/data-link-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/ecrc-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/flow-control-protocol-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/internal-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/malformed-tlp-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/poisoned-tlp-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/receiver-overflow-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/surprise-down-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/tlp-prefix-blocked-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/total-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/undefined-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/unexpected-completion-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/pcie/non-fatal-errors/unsupported-request-errors,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/state/temperature/alarm-severity,leaf,read,identityref,,,,
components/component/state/temperature/alarm-status,leaf,read,boolean,,,,
components/component/state/temperature/alarm-threshold,leaf,read,uint32,,,,
components/component/state/temperature/avg,,not-supported,,,,,Not-supported deviation.
components/component/state/temperature/instant,leaf,read,decimal64,,,,
components/component/state/temperature/interval,,not-supported,,,,,Not-supported deviation.
components/component/state/temperature/max,leaf,read,decimal64,,,,
components/component/state/temperature/max-time,leaf,read,uint64,oc-types:timeticks64,,,
components/component/state/temperature/min,,not-supported,,,,,Not-supported deviation.
components/component/state/temperature/min-time,,not-supported,,,,,Not-supported deviation.
components/component/chassis/config,,not-supported,,,,,Not-supported deviation.
components/component/chassis/state,,not-supported,,,,,Not-supported deviation.
components/component/chassis/alarms/critical-state/info,,not-supported,,,,,Not-supported deviation.
components/component/chassis/alarms/critical-state/severity,leaf,read,identityref,,,,
components/component/chassis/alarms/critical-state/status,leaf,read,boolean,,,,
components/component/chassis/alarms/critical-state/time-created,leaf,read,uint64,oc-types:timeticks64,,,
components/component/chassis/utilization/resources/resource/name,leaf,read,string,,,,gNMI-only access
components/component/chassis/utilization/resources/resource/config/name,,not-supported,,,,,
components/component/chassis/utilization/resources/resource/config/used-threshold-upper,,not-supported,,,,,Not-supported deviation.
components/component/chassis/utilization/resources/resource/config/used-threshold-upper-clear,,not-supported,,,,,Not-supported deviation.
components/component/chassis/utilization/resources/resource/state/committed,leaf,read,uint64,,,,gNMI-only access
components/component/chassis/utilization/resources/resource/state/free,leaf,read,uint64,,,,gNMI-only access
components/component/chassis/utilization/resources/resource/state/high-watermark,leaf,read,uint64,,,,gNMI-only access
components/component/chassis/utilization/resources/resource/state/last-high-watermark,leaf,read,uint64,openconfig-types:timeticks64,,,gNMI-only access
components/component/chassis/utilization/resources/resource/state/max-limit,leaf,read,uint64,,,,gNMI-only access
components/component/chassis/utilization/resources/resource/state/name,leaf,read,string,,,,gNMI-only access
components/component/chassis/utilization/resources/resource/state/used,leaf,read,uint64,,,,gNMI-only access
components/component/chassis/utilization/resources/resource/state/used-threshold-upper,leaf,read,uint8,openconfig-types:percentage,,,gNMI-only access
components/component/chassis/utilization/resources/resource/state/used-threshold-upper-clear,leaf,read,uint8,openconfig-types:percentage,,,gNMI-only access
components/component/chassis/utilization/resources/resource/state/used-threshold-upper-exceeded,leaf,read,boolean,,,,gNMI-only access
components/component/controller-card/config/power-admin-state,leaf,read+write,enumeration,oc-platform:component-power-type,,,
components/component/controller-card/state/power-admin-state,leaf,read,enumeration,oc-platform:component-power-type,,,
components/component/cpu/config,,not-supported,,,,,Not-supported deviation.
components/component/cpu/state,,not-supported,,,,,Not-supported deviation.
components/component/cpu/utilization/state/avg,leaf,read,uint8,oc-types:percentage,,,
components/component/cpu/utilization/state/instant,leaf,read,uint8,oc-types:percentage,,,
components/component/cpu/utilization/state/interval,leaf,read,uint64,oc-types:stat-interval,,,
components/component/cpu/utilization/state/max,leaf,read,uint8,oc-types:percentage,,,
components/component/cpu/utilization/state/max-time,leaf,read,uint64,oc-types:timeticks64,,,
components/component/cpu/utilization/state/min,leaf,read,uint8,oc-types:percentage,,,
components/component/cpu/utilization/state/min-time,leaf,read,uint64,oc-types:timeticks64,,,
components/component/fabric/config/power-admin-state,leaf,read+write,enumeration,oc-platform:component-power-type,,,
components/component/fabric/state/power-admin-state,leaf,read,enumeration,oc-platform:component-power-type,,,
components/component/fan/config,,not-supported,,,,,Not-supported deviation.
components/component/fan/state/speed,leaf,read,uint32,,,,
components/component/healthz/state/last-unhealthy,leaf,read,uint64,oc-types:timeticks64,,,
components/component/healthz/state/status,leaf,read,enumeration,oc-platform-healthz:enumeration,,,
components/component/healthz/state/unhealthy-count,leaf,read,uint64,,,,
components/component/integrated-circuit/memory,,not-supported,,,,,Not-supported deviation.
components/component/integrated-circuit/vendor-data,,not-supported,,,,,Not-supported deviation.
components/component/integrated-circuit/config/node-id,leaf,read+write,uint64,,,,
components/component/integrated-circuit/state/node-id,leaf,read,uint64,,,,
components/component/integrated-circuit/backplane-facing-capacity/state/available-pct,leaf,read,uint16,,,,
components/component/integrated-circuit/backplane-facing-capacity/state/consumed-capacity,leaf,read,uint64,,,,
components/component/integrated-circuit/backplane-facing-capacity/state/total,leaf,read,uint64,,,,
components/component/integrated-circuit/backplane-facing-capacity/state/total-operational-capacity,leaf,read,uint64,,,,
components/component/integrated-circuit/interrupt-counters/vendor/arista/name,leaf,read,string,,,,gNMI-only access
components/component/integrated-circuit/interrupt-counters/vendor/arista/sand/total-interrupt-counters,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor,leaf,read,container,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/state/dropped-aggregate,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/state/dropped-bytes-aggregate,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/state/queued-aggregate,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/state/queued-bytes-aggregate,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/acl-log/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/acl-log/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/acl-log/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/acl-log/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/arp-inspect/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/arp-inspect/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/arp-inspect/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/arp-inspect/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bfd/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bfd/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bfd/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bfd/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bgp/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bgp/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bgp/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bgp/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bpdu/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bpdu/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bpdu/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/bpdu/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cfm/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cfm/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cfm/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cfm/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cfm-snoop/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cfm-snoop/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cfm-snoop/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cfm-snoop/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cvx/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cvx/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cvx/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cvx/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cvx-heartbeat/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cvx-heartbeat/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cvx-heartbeat/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/cvx-heartbeat/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/dot1x-mba/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/dot1x-mba/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/dot1x-mba/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/dot1x-mba/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/eapol/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/eapol/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/eapol/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/eapol/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/egress-trap/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/egress-trap/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/egress-trap/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/egress-trap/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/igmp/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/igmp/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/igmp/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/igmp/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-broadcast/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-broadcast/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-broadcast/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-broadcast/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-multicast/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-multicast/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-multicast/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-multicast/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-multicast-miss/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-multicast-miss/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-multicast-miss/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-multicast-miss/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-unicast/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-unicast/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-unicast/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ip-unicast/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l2-broadcast/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l2-broadcast/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l2-broadcast/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l2-broadcast/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l2-unicast/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l2-unicast/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l2-unicast/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l2-unicast/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-destination-miss/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-destination-miss/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-destination-miss/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-destination-miss/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-lpm-overflow/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-lpm-overflow/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-lpm-overflow/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-lpm-overflow/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-ttl1-ip-opt-unicast/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-ttl1-ip-opt-unicast/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-ttl1-ip-opt-unicast/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-ttl1-ip-opt-unicast/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-ttl1-ip-options/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-ttl1-ip-options/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-ttl1-ip-options/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/l3-ttl1-ip-options/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/lacp/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/lacp/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/lacp/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/lacp/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ldp/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ldp/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ldp/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/ldp/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/link-local/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/link-local/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/link-local/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/link-local/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/link-local-src/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/link-local-src/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/link-local-src/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/link-local-src/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/lldp/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/lldp/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/lldp/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/lldp/queued-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/mirroring/dropped,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/mirroring/dropped-bytes,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/mirroring/queued,leaf,read,uint64,,,,gNMI-only access
components/component/integrated-circuit/pipeline-counters/control-plane-traffic/vendor/arista/sand/state/mirroring/queued-bytes,leaf,read,uint64,,,,gNMI-only access
